0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.09,-0.13,-0.13,-0.13,-0.13,1.57,-0.13,-0.13,-0.13,-0.12,-0.13,-0.02,-0.11,-0.13,-0.13,-0.13
-0.09,-0.12,-0.13,-0.13,-0.13,-0.44,-0.13,-0.13,-0.13,-0.11,-0.13,1.17,-0.13,-0.13,-0.13,-0.13
-0.07,-0.13,-0.13,-0.13,-0.13,-0.62,-0.13,-0.13,-0.13,-0.12,-0.13,0.16,-0.13,-0.13,-0.13,-0.13
-0.06,-0.13,-0.13,-0.13,-0.13,0.48,-0.13,-0.13,-0.13,-0.12,-0.13,-0.0,-0.12,0.1,-0.13,-0.13
-0.09,-0.13,-0.13,-0.13,-0.13,-0.62,-0.13,-0.13,-0.13,-0.11,-0.13,0.27,-0.13,-0.13,-0.13,-0.13
-0.08,-0.12,-0.13,-0.13,-0.13,-0.48,-0.13,-0.13,-0.13,-0.11,-0.13,0.03,-0.13,-0.13,-0.13,-0.13
-0.09,-0.13,-0.13,-0.13,-0.13,2.06,-0.13,-0.13,-0.13,-0.12,-0.12,0.11,-0.13,-0.13,-0.13,-0.13
-0.1,-0.13,-0.13,-0.13,-0.13,0.39,-0.13,-0.13,-0.13,-0.12,-0.12,-0.05,-0.13,0.31,-0.13,-0.13
-0.07,-0.13,-0.13,-0.13,-0.13,0.94,-0.13,-0.13,-0.13,-0.11,-0.12,0.03,-0.13,-0.13,-0.13,-0.13
-0.06,-0.13,-0.13,-0.13,-0.13,-0.24,-0.13,-0.13,-0.13,-0.11,-0.13,-0.08,-0.13,-0.13,-0.13,-0.13
-0.06,-0.12,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.1,-0.13,0.18,-0.13,-0.13,-0.13,-0.13
-0.08,-0.13,-0.13,-0.13,-0.13,0.57,-0.13,-0.13,-0.13,-0.1,-0.13,-0.08,-0.13,-0.13,-0.13,-0.13
-0.08,-0.13,-0.13,-0.13,-0.13,2.04,-0.13,-0.13,-0.13,-0.13,-0.12,0.08,-0.13,0.23,-0.13,-0.13
-0.08,-0.13,-0.13,-0.13,-0.13,-0.06,-0.13,-0.13,-0.13,-0.11,-0.12,0.08,-0.12,-0.13,-0.13,-0.13
-0.06,-0.13,-0.13,-0.13,-0.13,1.74,-0.13,-0.13,-0.13,-0.12,-0.13,0.3,-0.13,-0.13,-0.13,-0.13
-0.08,-0.12,-0.13,-0.13,-0.13,2.23,-0.13,-0.13,-0.13,-0.1,-0.13,0.27,-0.12,-0.13,-0.13,-0.13
-0.1,-0.12,-0.13,-0.13,-0.13,-0.02,-0.13,-0.13,-0.13,-0.09,-0.13,0.2,-0.13,-0.13,-0.13,-0.13
-0.09,-0.12,-0.13,-0.13,-0.13,1.78,-0.13,-0.13,-0.13,-0.1,-0.12,0.18,-0.13,-0.13,-0.13,-0.13
-0.09,-0.12,-0.13,-0.13,-0.13,0.22,-0.13,-0.13,-0.13,-0.1,-0.12,0.14,-0.13,-0.13,-0.13,-0.13
-0.11,-0.13,-0.13,-0.13,-0.13,0.03,-0.13,-0.13,-0.13,-0.12,-0.12,0.1,-0.13,-0.13,-0.13,-0.13
-0.08,-0.13,-0.13,-0.13,-0.13,0.15,-0.13,-0.13,-0.13,-0.11,-0.12,-0.06,-0.13,-0.13,-0.13,-0.13
-0.09,-0.13,-0.13,-0.13,-0.13,-0.12,-0.13,-0.13,-0.13,-0.13,-0.12,0.21,-0.13,-0.13,-0.13,-0.13
-0.1,-0.13,-0.13,-0.13,-0.13,-0.46,-0.13,-0.13,-0.13,-0.11,-0.12,0.05,-0.13,0.27,-0.13,-0.13
-0.08,-0.13,-0.13,-0.13,-0.13,0.27,-0.13,-0.13,-0.13,-0.12,-0.13,0.08,-0.13,-0.13,-0.13,-0.13
-0.07,-0.13,-0.13,-0.13,-0.13,-0.55,-0.13,-0.13,-0.13,-0.11,-0.12,0.05,-0.13,-0.13,-0.13,-0.13
-0.09,-0.13,-0.13,-0.13,-0.13,5.79,-0.13,-0.13,-0.13,-0.11,-0.12,-0.09,-0.13,-0.13,-0.13,-0.13
-0.09,-0.13,-0.13,-0.13,-0.13,-0.01,-0.13,-0.13,-0.13,-0.09,-0.13,0.12,-0.13,-0.03,-0.13,-0.13
-0.08,-0.12,-0.13,-0.13,-0.13,2.04,-0.13,-0.13,-0.13,-0.11,-0.13,-0.04,-0.13,-0.13,-0.13,-0.13
-0.08,-0.12,-0.13,-0.13,-0.13,0.04,-0.13,-0.13,-0.13,-0.13,-0.12,0.17,-0.13,-0.13,-0.13,-0.13
-0.06,-0.12,-0.13,-0.13,-0.13,1.62,-0.13,-0.13,-0.13,-0.11,-0.12,0.31,-0.12,-0.13,-0.13,-0.13
-0.1,-0.13,-0.13,-0.13,-0.13,-0.1,-0.13,-0.13,-0.13,-0.11,-0.12,0.96,-0.13,-0.13,-0.13,-0.13
-0.09,-0.12,-0.13,-0.13,-0.13,-0.16,-0.13,-0.13,-0.13,-0.1,-0.12,0.15,-0.13,-0.13,-0.13,-0.13
-0.07,-0.13,-0.13,-0.13,-0.13,0.8,-0.13,-0.13,-0.13,-0.13,-0.13,0.34,-0.13,-0.13,-0.13,-0.13
-0.07,-0.13,-0.13,-0.13,-0.13,2.03,-0.13,-0.13,-0.13,-0.11,-0.12,-0.12,-0.13,0.09,-0.12,-0.13
-0.08,-0.13,-0.13,-0.13,-0.13,11.92,-0.13,-0.13,-0.13,-0.11,-0.12,0.24,-0.13,-0.13,-0.13,-0.13
-0.06,-0.13,-0.13,-0.13,-0.13,1.95,-0.13,-0.13,-0.13,-0.1,-0.13,-0.02,-0.13,-0.13,-0.13,-0.13
-0.09,-0.12,-0.13,-0.13,-0.13,2.82,-0.13,-0.13,-0.13,-0.12,-0.13,-0.02,-0.13,-0.05,-0.13,-0.13
-0.09,-0.13,-0.13,-0.13,-0.13,0.74,-0.13,-0.13,-0.13,-0.11,-0.12,-0.02,-0.13,-0.13,-0.13,-0.13
-0.09,-0.13,-0.13,-0.13,-0.13,1.82,-0.13,-0.13,-0.13,-0.11,-0.12,-0.08,-0.13,-0.13,-0.13,-0.13
-0.09,-0.12,-0.13,-0.13,-0.13,0.44,-0.13,-0.13,-0.13,-0.13,-0.13,0.0,-0.13,-0.13,-0.13,-0.13
-0.1,-0.13,-0.13,-0.13,-0.13,7.76,-0.13,-0.13,-0.13,-0.12,-0.13,-0.12,-0.12,-0.13,-0.13,-0.13
-0.07,-0.13,-0.13,-0.13,-0.13,4.87,-0.13,-0.13,-0.13,-0.11,-0.12,0.51,-0.13,-0.13,-0.13,-0.13
-0.09,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.12,-0.12,0.21,-0.13,-0.13,-0.13,-0.13
-0.08,-0.13,-0.13,-0.13,-0.13,2.36,-0.13,-0.13,-0.13,-0.09,-0.13,-0.03,-0.13,-0.13,-0.13,-0.13
-0.06,-0.13,-0.13,-0.13,-0.13,-0.05,-0.13,-0.13,-0.13,-0.11,-0.13,-0.09,-0.13,-0.13,-0.13,-0.13
-0.07,-0.12,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.1,-0.13,0.21,-0.13,-0.13,-0.13,-0.13
-0.09,-0.13,-0.13,-0.13,-0.13,0.23,-0.13,-0.13,-0.13,-0.11,-0.13,0.05,-0.13,-0.13,-0.13,-0.13
-0.06,-0.13,-0.13,-0.13,-0.13,4.58,-0.13,-0.13,-0.13,-0.13,-0.13,0.41,-0.13,-0.13,-0.13,-0.13
-0.06,-0.13,-0.13,-0.13,-0.13,2.63,-0.13,-0.13,-0.13,-0.12,-0.13,0.12,-0.13,-0.13,-0.13,-0.13
-0.07,-0.13,-0.13,-0.13,-0.13,2.47,-0.13,-0.13,-0.13,-0.13,-0.13,0.21,-0.13,-0.13,-0.13,-0.13
-0.09,-0.13,-0.13,-0.13,-0.13,0.48,-0.13,-0.13,-0.13,-0.12,-0.12,-0.06,-0.13,-0.13,-0.13,-0.13
-0.06,-0.13,-0.13,-0.13,-0.13,0.07,-0.13,-0.13,-0.13,-0.12,-0.13,0.28,-0.13,-0.13,-0.13,-0.13
-0.06,-0.13,-0.13,-0.13,-0.13,0.28,-0.13,-0.13,-0.13,-0.12,-0.13,0.55,-0.13,-0.13,-0.13,-0.13
-0.09,-0.12,-0.13,-0.13,-0.13,1.74,-0.13,-0.13,-0.13,-0.11,-0.13,0.04,-0.13,-0.13,-0.13,-0.13
-0.08,-0.13,-0.13,-0.13,-0.13,0.06,-0.13,-0.13,-0.13,-0.12,-0.12,0.23,-0.13,-0.13,-0.13,-0.13
-0.07,-0.13,-0.13,-0.13,-0.13,1.67,-0.13,-0.13,-0.13,-0.11,-0.13,0.2,-0.13,-0.13,-0.13,-0.13
-0.09,-0.13,-0.13,-0.13,-0.13,0.27,-0.13,-0.13,-0.13,-0.12,-0.13,0.1,-0.13,-0.13,-0.13,-0.13
